Fin,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts,race_name,date,year,track,laps,track_len,caution_cnt,caution_laps,race_dur,avg_speed,pole_speed,margin,lead_changes,PPts
1,31,21,   Kevin Harvick ,AutoZone   (Richard Childress),Chevrolet,120,"116,200",running,42,190,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
2,11,32,   Dave Blaney ,Fan1st.com   (Todd Braun),Toyota,120,"90,550",running,0,170,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
3,6,60,   Carl Edwards ,Scott's   (Jack Roush),Ford,120,"77,450",running,10,170,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
4,26,2,   Clint Bowyer ,BB&T   (Richard Childress),Chevrolet,120,"62,550",running,3,165,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
5,8,6,   Mark Martin ,Dish Network   (Jack Roush),Ford,120,"58,000",running,0,155,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
6,4,11,"   Martin Truex, Jr. ","Bass Pro Shops / Tracker   (Dale Earnhardt, Inc.)",Chevrolet,120,"53,450",running,5,155,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
7,20,8,"   Dale Earnhardt, Jr. ","Menards / Johns Manville   (Dale Earnhardt, Inc.)",Chevrolet,120,"56,575",running,8,151,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
8,38,33,   Tony Stewart ,Old Spice   (Kevin Harvick),Chevrolet,120,"50,300",running,0,142,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
9,15,20,   Denny Hamlin ,Rockwell Automation   (Joe Gibbs),Chevrolet,120,"54,250",running,0,138,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
10,9,26,   Greg Biffle ,Oreo Double Stuf   (Jack Roush),Ford,120,"49,025",running,0,134,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
11,14,55,   Robby Gordon ,Motorola / Verizon   (Robby Gordon),Ford,120,"47,300",running,0,130,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
12,13,17,   Matt Kenseth ,Arby's   (Jack Roush),Ford,120,"51,825",running,2,132,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
13,36,29,   Scott Wimmer ,Holiday Inn   (Richard Childress),Chevrolet,120,"62,965",running,0,124,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
14,18,16,   Todd Kluever ,3M   (Jack Roush),Ford,120,"55,770",running,0,121,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
15,3,47,   Jon Wood ,Clorox / American Red Cross   (Tad Geschickter),Ford,120,"57,395",running,0,118,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
16,37,59,   Marcos Ambrose ,Kingsford / Bush's   (Tad Geschickter),Ford,120,"47,950",running,0,115,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
17,12,15,   Paul Menard ,"Menards / Peak   (Dale Earnhardt, Inc.)",Chevrolet,120,"52,920",running,0,112,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
18,42,77,   Bobby Labonte ,Dollar General   (Kevin Harvick),Chevrolet,120,"44,875",running,0,109,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
19,1,18,   Aric Almirola ,Banquet Foods   (Joe Gibbs),Chevrolet,120,"51,950",running,0,106,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
20,35,25,   David Gilliland ,freecreditreport.com   (Ed Rensi),Ford,120,"47,300",running,0,103,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
21,28,36,   Brent Sherman ,BIG LOTS   (John McGill),Chevrolet,120,"48,200",running,1,105,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
22,2,38,   Jason Leffler ,Great Clips   (Todd Braun),Toyota,120,"53,845",running,2,102,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
23,32,7,   Mike Wallace ,GEICO   (James Finch),Chevrolet,120,"49,495",running,1,99,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
24,33,35,"   Bobby Hamilton, Jr. ",McDonald's   (Gary Weisbaum),Ford,119,"45,775",running,0,91,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
25,43,34,   Steve Grissom ,Scottish Rite / FCP   (Frank Cicci),Chevrolet,118,"45,800",running,0,88,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
26,24,4,   Regan Smith ,Ginn Resorts   (Bobby Ginn),Chevrolet,115,"48,745",running,0,85,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
27,19,14,   Kyle Krisiloff ,Clabber Girl   (Carl Haas),Ford,114,"45,425",running,0,82,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
28,39,28,"   Robert Richardson, Jr. ",Checkers / Rally's   (Jay Robinson),Chevrolet,114,"45,350",running,0,79,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
29,21,99,   David Reutimann ,Aaron's Dream Machine   (Michael Waltrip),Toyota,114,"50,470",running,0,76,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
30,34,66,   Steve Wallace ,HomeLife Communities   (Rusty Wallace),Dodge,114,"45,375",running,0,73,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
31,27,12,"   Sam Hornish, Jr. ",Mobil 1   (Roger Penske),Dodge,114,"50,475",running,0,70,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
32,22,27,   Ward Burton ,Winn-Dixie / Kleenex   (Clarence Brewer),Ford,113,"45,100",running,0,67,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
33,7,90,   Stephen Leicht ,CitiFinancial   (Yates Racing),Ford,105,"50,070",running,0,64,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
34,23,87,   Joe Nemechek ,brunton vineyards / swig   (Joe Nemechek),Chevrolet,101,"42,800",running,0,61,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
35,41,0,   Eric McClure ,Hefty   (Johnny Davis),Chevrolet,99,"44,650",running,0,58,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
36,40,88,   Shane Huffman ,U.S. Navy   (JR Motorsports),Chevrolet,86,"44,575",running,0,55,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
37,10,5,   Kyle Busch ,Spectracide / Lowe's   (Rick Hendrick),Chevrolet,82,"42,525",fuel pump,46,62,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
38,25,41,   Reed Sorenson ,Wrigley's Juicy Fruit   (Chip Ganassi),Dodge,80,"42,475",engine,0,49,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
39,5,10,   John Andretti ,Camping World   (Greg Pollex),Toyota,26,"49,645",crash,0,46,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
40,16,42,   Juan Pablo Montoya ,Texaco / Havoline   (Chip Ganassi),Dodge,24,"44,375",engine,0,43,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
41,29,9,   Kasey Kahne ,Hellmann's Mayonnaise   (Ray Evernham),Dodge,15,"47,825",crash,0,40,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
42,30,37,   Jamie McMurray ,Yard-Man   (Clarence Brewer),Ford,15,"42,275",crash,0,37,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
43,17,6,   David Ragan ,Discount Tire   (Jack Roush),Ford,4,"44,197",crash,0,34,2007_Orbitz_300,2007-02-17,2007,Daytona International Speedway,120,2.5,3,13,1.9202777777777773,156.227,183.741,0.46,16,
1,2,17,   Matt Kenseth ,Dish Network   (Jack Roush),Ford,150,"82,500",running,48,195,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
2,5,24,   Casey Mears ,National Guard / 40th Infantry   (Rick Hendrick),Chevrolet,150,"60,400",running,0,170,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
3,7,5,   Kyle Busch ,Hendrick Autoguard   (Rick Hendrick),Chevrolet,150,"49,400",running,27,170,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
4,40,60,   Carl Edwards ,World Financial Group   (Jack Roush),Ford,150,"44,025",running,0,160,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
5,11,16,   Greg Biffle ,3M   (Jack Roush),Ford,150,"34,225",running,0,155,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
6,6,33,   Kevin Harvick ,RoadLoans.com   (Kevin Harvick),Chevrolet,150,"32,600",running,11,155,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
7,3,29,   Jeff Burton ,Holiday Inn   (Richard Childress),Chevrolet,150,"35,250",running,46,151,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
8,4,20,   Denny Hamlin ,Rockwell Automation   (Joe Gibbs),Chevrolet,150,"32,600",running,0,142,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
9,22,4,   Regan Smith ,Ginn Resorts   (Bobby Ginn),Chevrolet,150,"42,805",running,0,138,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
10,1,10,   Dave Blaney ,ABF U-Pack Moving   (Todd Braun),Toyota,150,"32,625",running,16,139,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
11,23,18,   Tony Stewart ,Z-Line Designs   (Joe Gibbs),Chevrolet,150,"25,650",running,0,130,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
12,9,22,   David Stremme ,Supercuts   (Armando Fitz),Dodge,150,"25,525",running,0,127,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
13,19,87,   Joe Nemechek ,brunton vineyards / swig   (Joe Nemechek),Chevrolet,150,"26,025",running,0,124,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
14,15,99,   David Reutimann ,Aaron's Dream Machine   (Michael Waltrip),Toyota,150,"36,590",running,0,121,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
15,17,37,   Jamie McMurray ,Yard-Man   (Clarence Brewer),Ford,150,"26,005",running,0,118,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
16,10,9,   Scott Riggs ,Wisk   (Ray Evernham),Dodge,150,"30,420",running,0,115,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
17,28,21,   Timothy Peters ,AutoZone   (Richard Childress),Chevrolet,150,"33,110",running,0,112,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
18,12,6,   David Ragan ,America's Tire   (Jack Roush),Ford,150,"26,475",running,0,109,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
19,14,28,   Jeff Green ,DaytonaBrands.com   (Jay Robinson),Chevrolet,150,"24,365",running,0,106,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
20,25,90,   Stephen Leicht ,CitiFinancial   (Yates Racing),Ford,150,"35,755",running,0,103,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
21,24,88,   Shane Huffman ,U.S. Navy   (JR Motorsports),Chevrolet,150,"26,145",running,0,100,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
22,8,66,   Steve Wallace ,HomeLife Communities   (Rusty Wallace),Dodge,150,"26,160",running,0,97,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
23,35,1,   J.J. Yeley ,Miccosukee Resorts   (James Finch),Chevrolet,150,"24,300",running,0,94,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
24,34,7,   Mike Wallace ,GEICO   (James Finch),Chevrolet,150,"35,590",running,1,96,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
25,41,59,   Marcos Ambrose ,Kingsford / Bush's   (Tad Geschickter),Ford,150,"25,780",running,0,88,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
26,27,25,   Kenny Wallace ,freecreditreport.com   (Ed Rensi),Ford,150,"32,045",running,0,85,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
27,31,36,   Brent Sherman ,BIG LOTS   (John McGill),Chevrolet,150,"25,385",running,1,87,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
28,13,34,   Jay Sauter ,Del Taco Restaurants   (Frank Cicci),Chevrolet,150,"25,265",running,0,79,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
29,32,35,"   Bobby Hamilton, Jr. ",McDonald's   (Gary Weisbaum),Ford,150,"25,140",running,0,76,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
30,33,77,   Kertus Davis ,Dollar General   (Kevin Harvick),Chevrolet,150,"25,280",running,0,73,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
31,18,47,   Jon Wood ,Clorox / American Red Cross   (Tad Geschickter),Ford,149,"31,645",running,0,70,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
32,37,23,   Brad Keselowski ,Oklahoma Centennial   (Keith Coleman),Chevrolet,149,"24,810",running,0,67,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
33,36,14,   Kyle Krisiloff ,Clabber Girl   (Carl Haas),Ford,147,"24,700",running,0,64,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
34,21,27,   Ward Burton ,Cottonelle / Stater Brothers   (Clarence Brewer),Ford,137,"24,590",running,0,61,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
35,16,12,"   Sam Hornish, Jr. ",Mobil 1   (Roger Penske),Dodge,132,"29,980",crash,0,58,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
36,20,41,   Reed Sorenson ,Wrigley's Juicy Fruit   (Chip Ganassi),Dodge,126,"22,370",running,0,55,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
37,26,15,   Paul Menard ,"Menards / Quaker State   (Dale Earnhardt, Inc.)",Chevrolet,122,"36,285",engine,0,52,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
38,30,38,   Jason Leffler ,Great Clips   (Todd Braun),Toyota,87,"30,675",crash,0,49,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
39,29,42,   Juan Pablo Montoya ,Texaco / Havoline   (Chip Ganassi),Dodge,87,"24,115",crash,0,46,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
40,39,0,   Eric McClure ,Hefty   (Johnny Davis),Chevrolet,64,"24,080",running,0,43,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
41,38,1,   Morgan Shepherd ,Hefty   (Johnny Davis),Chevrolet,18,"24,020",overheating,0,0,2007_Stater_Brothers_300,2007-02-24,2007,California Speedway,150,2.0,8,33,2.3461111111111115,127.871,180.41,0.484,13,
1,3,42,   Juan Pablo Montoya ,Texaco / Havoline / Telcel   (Chip Ganassi),Dodge,82,"125,646",running,43,195,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
2,5,20,   Denny Hamlin ,Rockwell Automation   (Joe Gibbs),Chevrolet,82,"86,700",running,1,175,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
3,7,9,   Boris Said ,Ragu / Wisk / Hellmann's   (Ray Evernham),Dodge,82,"79,025",running,0,165,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
4,9,60,   Carl Edwards ,Scotts   (Jack Roush),Ford,82,"69,275",running,1,165,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
5,1,41,   Scott Pruett ,Wrigley's Juicy Fruit   (Chip Ganassi),Dodge,82,"63,825",running,22,160,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
6,23,38,   Jason Leffler ,Great Clips   (Todd Braun),Toyota,82,"71,295",running,0,150,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
7,4,27,   Jorge Goeters ,STAR Motorsports   (Clarence Brewer),Ford,82,"54,860",running,3,151,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
8,12,59,   Marcos Ambrose ,Kingsford / Bush's / Matchlight   (Tad Geschickter),Ford,82,"53,820",running,0,142,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
9,17,5,   Adrian Fernandez ,Lowe's   (Rick Hendrick),Chevrolet,82,"46,950",running,0,138,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
10,30,47,   Jon Wood ,Clorox / American Red Cross   (Tad Geschickter),Ford,82,"57,200",running,0,134,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
11,32,16,   Todd Kluever ,3M   (Jack Roush),Ford,82,"53,800",running,0,130,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
12,25,99,   David Reutimann ,Aaron's Dream Machine   (Michael Waltrip),Toyota,82,"52,227",running,0,127,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
13,31,10,   Dave Blaney ,Fan1st.com   (Todd Braun),Toyota,82,"45,550",running,0,124,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
14,35,6,   David Ragan ,Discount Tire   (Jack Roush),Ford,82,"44,550",running,0,121,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
15,26,36,   Brent Sherman ,BIG LOTS   (John McGill),Chevrolet,82,"45,200",running,0,118,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
16,34,14,   Kyle Krisiloff ,Clabber Girl   (Carl Haas),Ford,82,"44,300",running,0,115,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
17,18,35,"   Bobby Hamilton, Jr. ",McDonald's   (Gary Weisbaum),Ford,82,"42,175",running,0,112,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
18,22,66,   Steve Wallace ,HomeLife Communities   (Rusty Wallace),Dodge,82,"44,050",running,0,109,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
19,28,7,   Mike Wallace ,GEICO   (James Finch),Chevrolet,82,"50,465",running,0,106,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
20,16,37,   Greg Biffle ,Yard-Man   (Clarence Brewer),Ford,82,"45,200",running,1,108,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
21,27,88,   Shane Huffman ,U.S. Navy   (JR Motorsports),Chevrolet,82,"43,775",running,0,100,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
22,39,34,   Brian Simo ,Frank Cicci Racing   (Frank Cicci),Chevrolet,82,"41,725",running,0,97,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
23,38,13,   Todd Souza ,Turn Left for the Cure   (Todd Souza),Chevrolet,82,"42,050",running,0,94,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
24,10,21,   P.J. Jones ,AutoZone   (Richard Childress),Chevrolet,82,"49,125",running,0,91,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
25,11,17,"   Michel Jourdain, Jr. ",Dish Network   (Jack Roush),Ford,82,"47,225",running,0,88,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
26,8,4,   Regan Smith ,Ginn Resorts   (Bobby Ginn),Chevrolet,82,"48,050",running,0,85,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
27,13,90,   Stephen Leicht ,CitiFinancial   (Yates Racing),Ford,82,"48,000",running,1,87,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
28,20,28,   German Quiroga ,Telcel / Motorola   (Jay Robinson),Chevrolet,81,"43,425",running,9,84,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
29,29,67,   Rogelio Lopez ,Telmex   (Tom Eriksen),Dodge,81,"41,675",running,0,76,2007_Telcel-Motorola_Mexico_200,2007-03-04,2007,Autodromo Hermanos Rodriguez,80,2.518,8,14,2.754166666666667,74.969,103.647,0.75,12,
